site,city,town
清水斷崖,花蓮縣,秀林鄉
太平山國家森林遊樂區,宜蘭縣,大同鄉
桃園機場捷運沿線景點,桃園市,蘆竹區
基隆正濱漁港,基隆市,中正區
阿根納造船廠遺址,基隆市,中正區
基隆碧砂漁港,基隆市,中正區
基隆和平島,基隆市,中正區
望幽谷,基隆市,中正區
海門天險,基隆市,中正區
宜蘭．梅花湖,宜蘭縣,冬山鄉
宜蘭．福山植物園,宜蘭縣,員山鄉
宜蘭明池,宜蘭縣,大同鄉
宜蘭望龍埤,宜蘭縣,員山鄉
南方澳漁港,宜蘭縣,蘇澳鎮
幾米廣場&丟丟噹森林,宜蘭縣,宜蘭市
宜蘭‧蘭陽博物館,宜蘭縣,頭城鎮
烏石港,宜蘭縣,頭城鎮
冬山車站,宜蘭縣,冬山鄉
五峰旗瀑布,宜蘭縣,礁溪鄉
冬山河親水公園,宜蘭縣,五結鄉
宜蘭傳統藝術中心,宜蘭縣,五結鄉
東澳粉鳥林,宜蘭縣,南澳鄉
頭城老街,宜蘭縣,頭城鎮
南澳鄉野風情,宜蘭縣,南澳鄉
三星蔥鄉,宜蘭縣,三星鄉
羅東運動公園,宜蘭縣,羅東鎮
天送埤車站,宜蘭縣,三星鄉
蘇澳冷泉,宜蘭縣,蘇澳鎮
大溪老街,桃園縣,大溪鎮
龍潭觀光大池,桃園縣,龍潭鄉
慈湖風光,桃園縣,大溪鎮
新竹關西~佛陀世界自然禪修閉關園區,新竹縣,關西鎮
永安漁港、竹圍漁港,桃園市,大園區
角板山風景區,桃園縣,復興鄉
三坑子老街,桃園縣,龍潭鄉
桃源仙谷~山林遊,桃園市,復興區
小人國主題樂園,桃園市,龍潭區
六福村主題樂園,新竹縣,關西鎮
馬祖新村眷村文創園區,桃園市,中壢區
壢小故事森林&中平路故事館,桃園市,中壢區
桃園藝文廣場,桃園市,桃園區
桃園市土地公文化館,桃園市,桃園區
大溪老茶廠,桃園市,大溪區
桃園大溪花海園區,桃園市,大溪區
大溪經國紀念館,桃園市,大溪區
十二寮天主堂,新竹縣,峨眉鄉
東安古橋,新竹縣,關西鎮
新竹米粉寮,新竹市,之北區
新竹~九降風柿餅,新竹縣,新埔鎮
竹北新瓦屋,新竹縣,竹北市
內灣風光,新竹縣,橫山鄉
北埔老街,新竹縣,北埔鄉
清泉風光,新竹縣,五峰鄉
三毛夢屋&清泉天主堂,新竹縣,五峰鄉
新竹~張學良文化園區,新竹縣,五峰鄉
竹東軟橋彩繪村,新竹縣,竹東鎮
苗栗客家圓樓,苗栗縣,後龍鎮
龍騰斷橋,苗栗縣,三義鄉
勝興車站,苗栗縣,三義鄉
苗栗勝興村,苗栗縣,三義鄉
三義木雕,苗栗縣,三義鄉
苗栗三義‧鴨箱寶,苗栗縣,三義鄉
南庄老街,苗栗縣,南庄鄉
後龍好望角,苗栗縣,後龍鎮
苗栗~功維敘隧道,苗栗縣,苗栗市
苗栗三義‧3D彩繪天梯,苗栗縣,三義鄉
七里香玫瑰森林,苗栗縣,頭屋鄉
綠葉方舟~山林遊,苗栗縣,三義鄉
苗栗‧天空之城,苗栗縣,大湖鄉
清安豆腐街,苗栗縣,泰安鄉
苗栗‧天空之城,苗栗縣,獅潭鄉
佛頂山朝聖寺,苗栗縣,三義鄉
大湖採草莓,苗栗縣,大湖鄉
銅鑼杭菊季,苗栗縣,銅鑼鄉
花蓮鐵道文化園區,花蓮縣,花蓮市
花蓮文創園區,花蓮縣,花蓮市
花蓮慶修院,花蓮縣,吉安鄉
洄瀾灣風情,花蓮縣,光復鄉
夢幻湖,花蓮縣,壽豐鄉
花蓮落羽松秘境,花蓮縣,壽豐鄉
六十石山,花蓮縣,富里鄉
石雨傘海濱,台東縣,成功鎮
台東小野柳,台東縣,台東市
池上風光,台東縣,池上鄉
關山田野之美,台東縣,關山鎮
台東~國立台灣史前文化博物館,台東縣,台東市
台東~加路蘭海岸遊憩區,台東縣,台東市
台東海濱公園,台東縣,台東市
小油坑風光,台北市,北投區
中正紀念堂,台北市,中正區
大佳河濱公園,台北市,中山區
艋舺龍山寺,台北市,萬華區
北市兒童新樂園,台北市,士林區
台北忠烈祠,台北市,中山區
保安宮夜景,台北市,大同區
台北芝山岩,台北市,士林區
萬華．新富町文化市場,台北市,萬華區
糖廍文化園區,於北市,萬華區
台北花市,台北市,內湖區
竹子湖黑森林,台北市,北投區
美軍宿舍群陽明山甜點村,台北市,士林區
彩虹橋,台北市,松山區
士林至善園,台北市,士林區
西門紅樓,台北市,萬華區
象山自然步道,台北市,信義區
青年公園,於北市,萬華區
貓空悠遊,於北市,文山區
大湖公園,台北市,內湖區
四四南村信義公民會館,於北市,信義區
竹子湖海芋季,台北市,士林區
竹子湖水車寮繡球花田,台北市,北投區
台北中山堂,於北市,中正區
撫臺街洋樓,台北市,中正區
陽明山～大屯瀑布,台北市,北投區
北投‧少帥禪園,台北市,北投區
法鼓山‧農禪寺,台北市,北投區
小坑溪親水文學步道,台北市,文山區
貴子坑情人湖,台北市,北投區
台北市信義區~台北探索館,台北市,信義區
台北市．自來水博物館,台北市,中正區
洲美蜆仔港公園,台北市,士林區
青田街巷弄風情,台北市,大安區
原住民文化主題公園&忘憂湖,台北市,士林區
陽明山櫻花巷,台北市,士林區
台北~和興炭坑,台北市,信義區
剝皮寮老街,台北市,萬華區
土銀展示館,台北市,中正區
台北市動物園,於北市,文山區
木柵杏花林,台北市,文山區
華江雁鴨自然公園,台北市,萬華區
景美仙跡岩,台北市,文山區
北投地熱谷,台北市,北投區
國立台灣博物館,台北市,中正區
